# index, name, _pos
518,1149,"array([ 2.89932367, -0.85130391])"
519,1150,"array([ 2.8180154 , -0.87802314])"
520,1162,"array([ 2.88398482, -0.88237483])"
521,1202,"array([ 2.88687854, -0.88143353])"
522,1211,"array([ 2.95842424, -0.87519118])"
523,1221,"array([ 2.86208314, -0.88391372])"
524,1245,"array([ 2.87444387, -0.89689422])"
525,1283,"array([ 2.8377959 , -0.86968818])"
526,1295,"array([ 2.8712244 , -0.86936338])"
527,1360,"array([ 2.93446409, -0.83196946])"
528,1392,"array([ 2.83250896, -0.87255781])"
529,1444,"array([ 2.84939932, -0.82349477])"
530,1452,"array([ 2.78949383, -0.90154951])"
531,1462,"array([ 2.76258991, -0.88253613])"
532,1488,"array([ 2.78817977, -0.87445999])"
533,1516,"array([ 2.87254589, -0.84485787])"
534,1528,"array([ 2.88127679, -0.92524719])"
535,1536,"array([ 2.85367948, -0.8456759 ])"
536,1558,"array([ 2.97075386, -0.86141847])"
537,1568,"array([ 2.82470412, -0.88285626])"
538,1569,"array([ 2.84386455, -0.88425436])"
539,1592,"array([ 2.80130572, -0.85390577])"
540,1629,"array([ 2.83329591, -0.85786375])"
541,1631,"array([ 2.91938488, -0.86575007])"
542,1634,"array([ 2.84046848, -0.78794591])"
543,1636,"array([ 2.91367767, -0.88685386])"
544,1675,"array([ 2.82823174, -0.8914018 ])"
545,1697,"array([ 2.90101862, -0.9796172 ])"
546,1714,"array([ 2.76691736, -0.810836  ])"
547,1719,"array([ 2.86854189, -0.89010185])"
548,1757,"array([ 2.82053312, -0.83460172])"
549,1784,"array([ 2.8476784 , -0.88442894])"
550,1798,"array([ 2.88821862, -0.85833022])"
551,1831,"array([ 2.95908219, -0.86905668])"
552,1832,"array([ 2.88749876, -0.88785043])"
553,1852,"array([ 2.91033353, -0.83660291])"
554,1855,"array([ 2.86570359, -0.97097235])"
555,1861,"array([ 2.89035321, -0.83826691])"
